Column1,Column2
P78406,Q5JVS0
P12694,O00151
P19404,Q15843
O14980,P36957
Q6XZF7,Q9H3S7
Q9NYA1,Q15019
P01111,P30530
P56282,O60256
Q13310,Q99814
P35080,Q9NPQ8
P35249,Q9NZD4
Q9P2B4,P48553
Q9Y3C8,Q9BWW4
Q15418,O14757
P26640,Q9NQC7
Q96EB1,Q5VSY0
P26447,Q12769
Q00994,Q9H8S9
P51692,Q99062
Q96P48,Q9Y2K6
Q92622,P43403
P11940,Q96ES7
O75840,O14933
Q9UBY9,P02787
Q6NYC8,O14910
Q16633,O14579
P30530,P21579
P48382,P02792
P21506,Q9BQB4
P01588,Q13492
P16591,P14923
P25800,Q15649
P25942,Q9Y281
Q8N8A2,P12755
P10646,O15355
Q6FI81,Q8IUQ4
P24043,Q04771
O60500,Q92598
Q16851,P08519
Q92569,Q99576
Q15942,P30531
Q02535,O15514
P06881,Q9H4E5
Q7Z5K2,O43665
O60895,P20809
O95944,O60566
Q92481,P05231
Q9BQA1,P15924
P26717,P11171
Q6I9Y2,Q02750
P33032,P57739
Q93034,Q8WVK7
P28066,Q9UN86
P35609,Q8WXI9
Q9H6R4,P35346
P0C0L4,Q7L0Q8
O75581,P49754
O00548,Q9UBK5
Q99459,P51116
Q07157,Q02223
Q02543,P30533
Q6SA08,Q9C0C7
Q86VX2,Q96QT6
P62280,P13804
Q9UI12,Q13356
Q6ZMQ8,Q969M7
O00418,Q8TBA6
Q9Y4C1,O43852
Q9Y375,P62979
Q9H9T3,P49336
Q13416,Q9P2S5
Q9H4L5,P26447
Q04756,Q9UM13
Q15051,P35372
P05387,Q9H9Q2
Q13227,Q5JR59
P46109,P23921
Q6R327,P30533
O43157,Q15287
Q69YH5,P62750
Q5VWQ8,Q15424
P52757,P22415
Q9NYP9,P20823
P20719,Q99816
O75312,Q9UK45
Q92800,Q8WWZ3
Q66GS9,Q9Y5A7
O75475,Q9UMF0
Q12778,Q92530
P09012,Q9Y574
Q8IWU2,O15520
Q13087,Q9UIU6
P18827,Q9UQM7
P52735,Q969R2
Q8TF42,O14744
P0DI81,O14936
P36896,Q9H2P0
Q13332,Q9Y6N9
P51531,Q96AJ9
Q9BW61,Q14807
Q9Y6Y9,P08100
Q96ED9,P62508
Q15631,Q6VAB6
P50749,Q9Y5Q9
P68032,P38484
P17081,P54764
Q04721,O43597
P62318,Q9NQX5
P02652,Q92934
P09327,Q15052
Q13257,Q9P209
P48729,Q7Z406
Q96SB3,P27797
P40429,O75461
Q9H422,Q86X55
Q9UL62,P35869
Q16644,Q9BRK5
O95166,Q16513
Q99504,P28702
Q99418,P61978
O75147,Q13576
Q96EK4,Q12841
Q15773,Q9NQT8
Q9NVC6,Q9Y2J0
P01236,Q9UBD9
Q12770,O14543
P06576,Q14160
P02774,Q15424
P51636,Q05209
Q14653,Q6ZMQ8
Q9GZS1,Q9NPD8
Q03468,P51692
O95218,Q01959
P32971,Q13023
Q9BVM2,P49715
Q9P0K7,Q13952
Q5SW96,O43927
Q92886,Q9BXC9
P43356,P23025
Q96Q27,Q9UBK5
P83916,Q96AJ9
P01116,P11308
P14324,P16389
Q04323,Q93008
P55317,Q15797
P37023,P06400
P27986,Q8NCQ7
O00232,P61923
P0CG47,Q9Y6M7
Q96KQ7,Q14686
Q96HC4,O75363
P35221,Q96QF0
Q99607,Q13133
Q15418,Q9UJX5
Q9NRM7,Q16650
P45379,Q9UQN3
P12830,Q99081
P29083,Q13569
O60739,Q15054
P46060,O43680
P37173,Q9UIF9
P55291,Q9NPF5
P62072,O43255
P08581,O94762
Q9BQ15,O14836
O15205,Q15678
Q9NWA0,P05154
P62873,Q06609
P05549,P62266
Q13362,P05556
Q9UDY8,Q96FX7
Q14164,Q92835
O43513,Q9H7C4
Q8N2Q7,P37173
P49720,P55786
O60729,Q96QB1
Q02156,Q96ED9
O15539,P55895
P23769,P62993
Q05586,Q13889
Q96CF2,Q9NWW0
P39687,Q9ULB1
Q6N021,Q14691
Q53GT1,P06702
Q86X83,Q9H6R4
Q6QNY0,Q9UH77
Q8NBZ0,Q9UKL3
O75496,P26367
P47224,P12830
P33991,Q9UQ35
Q6XZF7,Q96CS4
Q16526,P11912
Q92575,Q07325
Q9Y5Z7,Q68E01
P28072,O43353
Q8WUM0,Q9Y272
Q08722,O75822
Q15349,P28161
Q8NEV8,P39019
Q8N9N5,O00255
P49116,Q9NVV5
P22674,P43246
Q7Z3B3,Q9UNZ2
P12544,P30279
Q96L50,P35900
Q04206,Q99638
Q16587,Q15773
Q9H081,P30304
P62873,Q14206
Q9UKB1,Q8N5Y2
O43597,P78352
P35606,Q06643
O14910,Q9NY99
Q8NFH4,Q9UQ35
P06881,Q04917
P07910,O60934
O15083,Q9Y5B0
P08047,P40259
Q92878,O14910
O94992,P61586
P42772,Q99627
Q9GZR7,Q96IZ0
P42262,P26447
Q13287,Q8TAE8
Q13526,P17812
Q9Y2W7,Q07889
P01583,O60508
P29375,P27348
Q9UNA4,O15020
P20273,Q15759
Q76N89,P05556
Q9H9F9,P14373
O75461,P53621
O75396,P43034
P27815,P09486
Q16478,Q96IT1
P13805,O75363
O95782,Q16288
O60759,P14859
Q14722,Q8TAT6
O94979,Q15645
Q16832,Q9UH77
Q9HC98,Q9NP71
P24385,Q9UPN9
O76021,Q66K74
Q96GY3,Q15744
P51817,Q9C0C7
P17252,O60830
Q96N64,Q9NP85
O75161,Q15746
P33076,Q99496
P20226,Q04323
P78559,O43684
Q96SB3,P17542
Q6P2Q9,Q96EZ8
O15318,Q9C004
Q9UJ70,Q96GD4
P25815,Q9BVC3
P11171,P60228
Q5VTL8,Q13435
Q7L576,P31152
P41002,Q9NVV5
Q99986,P15336
P23945,Q01726
P14868,P68431
Q9H2L5,Q96HA7
P54132,Q15555
Q8TAA9,P08559
P00492,P02794
Q96EZ8,P02743
P01160,P57078
P56645,Q8N5C8
Q9UMW8,Q76FK4
P26006,Q9HA65
Q14721,Q9NR28
Q5HYK7,P24863
Q92917,Q86UE8
Q9HA65,P18615
O00712,Q15582
P12318,P17096
P30988,P78318
Q9UPS6,Q07352
Q9UNH5,O60609
Q01726,Q96IZ0
Q9UNY4,O60894
O75947,O15198
P00568,Q9NPD8
Q13439,Q6IBS0
A0A1B0GX68,P28336
Q96DX5,Q9H4X1
Q6ZRS2,Q13153
P17980,O95711
P17980,O75807
Q99750,P06729
Q01167,Q6QNY1
P19338,Q9BVI4
Q5PRF9,O96018
Q5TGY3,Q8N9R8
O15524,Q14011
P25963,Q14155
Q07954,P09382
O75593,Q96QG7
Q01453,Q9HA65
P78406,P01040
Q12816,Q4G0J3
P62258,Q96MT8
Q14765,Q9H8K7
Q9Y570,P09488
P45983,P24534
Q9H832,Q15796
O76021,O95619
Q14209,P23443
P13805,Q15363
P15172,Q01970
Q9Y6Q5,Q5UIP0
P13232,Q9NZ94
P16284,Q8TES7
P12757,P34998
P31629,P49675
Q5MIZ7,Q9H4P4
P15382,P51671
O75832,P47872
P05023,Q14106
Q16555,Q8WYJ6
P08922,Q9UQ84
Q9NV44,Q16082
Q9H5V7,O95292
P32245,Q5PRF9
P17661,O75962
P12268,P84103
Q6P1M3,P42575
Q12840,Q9BQ52
Q92974,Q96EU7
Q9UPS6,P25685
O14618,P19438
P10276,O43561
P78527,P42263
P05107,P12755
P23443,Q9Y5Q3
Q96CV9,Q9NVD7
P40337,P24001
O60716,P06748
P02741,Q8N9R8
Q16695,P43699
Q9H1J1,Q9UHV9
Q8NDV7,Q14444
P80098,O00555
P08195,P19878
O75312,P05546
P98082,P01588
Q9UBN7,Q12851
P81274,Q02952
Q9BV40,P18564
P15813,O95433
O15297,O60256
P01241,Q96FI4
P63000,Q9BRQ0
Q9H0E7,Q99558
Q9BRB3,P78346
Q6PKG0,Q13217
P48058,Q86TM6
P61201,Q71F23
P39019,Q9NQL2
O43482,Q9ULZ2
P48167,Q8IZT6
O60763,Q75N03
Q5T2T1,O15068
P78543,Q96RT8
Q05639,Q9UPN7
Q8NI08,Q96E14
Q8TCG1,Q8N8A2
O14836,Q8N3X1
P28062,Q6SA08
P06748,Q01538
P35579,Q8TF40
P20823,O75674
P78348,P09668
Q9Y3R0,O75694
P25942,Q5TD97
Q6PCD5,Q03113
Q9Y6X2,P35236
Q13253,P25445
P20333,Q76LX8
P49639,O95251
Q9UN37,O43439
Q9BY43,Q99627
Q9BXC9,P12644
Q7L5D6,Q96G74
Q16851,Q9Y2Z9
P31949,Q53T94
Q9UKT4,Q15121
Q9NS23,O00198
P49760,Q8TEQ6
P60709,Q9BVM2
Q9NZU7,Q8N531
Q15717,Q9BV19
Q13233,Q03181
P23763,P61978
Q9C0K7,Q9H3P2
Q8N5M1,P13693
O00339,Q96G25
Q15303,P48444
P54619,P85299
P22415,P61962
Q9BXC9,Q86U06
Q14C86,Q9P287
P38606,P49238
Q99728,O14649
Q9Y3E7,P12757
P07093,Q13033
Q6KC79,O00327
Q9Y2X0,O75145
Q9HCS4,O75190
Q15438,P54727
Q8NB91,Q9NWS0
P17275,Q9UJV3
Q8TF05,Q12834
O94905,P41273
O75528,Q9BPZ3
P38936,Q9Y4D1
O14745,Q05066
Q8IZT6,P29353
P0C0L4,P14780
P07954,P08603
P08138,A0JLT2
Q6PI98,Q9BU64
O14646,Q92620
Q8IX90,Q969S3
Q9Y587,Q13011
Q92636,P46013
Q9NPF4,Q13188
P40692,P40926
Q99832,Q8IXJ9
Q9NPD3,Q01892
Q9Y3D8,P23443
Q99523,Q13151
Q8N1L9,O60716
Q13596,O95190
Q8ND76,Q9NZC7
Q04724,Q76N89
P62308,Q92870
Q01094,Q9Y2Z4
P10244,P49674
Q8IVH2,O60315
Q8WZ19,Q96PF2
Q8ND04,Q14005
Q6PJG6,P35998
Q9H254,O75600
P02749,Q15750
P06241,Q96IY1
Q86Y39,P0C1Z6
P55210,Q06787
Q8N5R6,O75791
Q9NRN7,Q7L5N1
Q96E09,Q9Y692
Q96C24,O95278
Q99963,Q9BYG5
Q6PIL6,O14983
Q69YH5,Q9UBS5
Q7KZ85,Q9UBY0
O75674,Q702N8
Q14197,P34130
Q8WWY3,Q07866
Q9NVP1,O15519
Q13627,Q92620
Q8IYD8,Q9Y279
P11216,Q15750
Q9GZL7,Q15542
P32004,O60282
P49736,Q9C0J8
P02647,Q9UHV8
Q01167,Q99801
O00763,Q9ULH1
P14324,O43353
Q9NQG5,Q9Y2V3
Q9H4M9,P48145
P07996,O14654
P62195,P31749
P23297,O00401
P40425,Q86WB0
Q15323,O75530
P50995,P35236
Q96NB3,Q14657
P25490,Q13263
Q9Y6X3,Q9H4G0
P10589,O00512
Q9UBE8,P49959
Q8N201,Q9UM01
Q15170,Q9UKK3
Q8TB52,O43670
Q8TD08,Q5HYK7
P03973,Q8N7R7
Q03518,P27487
Q9H9Q2,P49407
Q6IN85,Q9UHQ4
Q13352,P08758
O00443,Q5JSH3
Q08999,Q9BX67
P49761,A5D8V6
P68366,Q6P4R8
P49810,P30533
Q15836,P03973
P32969,Q9NP98
P61019,Q12824
Q9Y2D8,O95198
Q9UKP3,Q86U86
Q9UK22,Q02487
O00541,Q68D85
P51681,Q96RS0
Q96EZ8,Q2TAY7
P28799,P16220
O14925,P53671
O14907,P19429
P50553,Q53TQ3
O75444,O43521
P28347,Q14565
P62877,Q9C026
Q9UGN5,Q6UB99
P61088,P21731
P78413,P22460
Q13523,Q00610
Q96G25,P14770
Q99748,Q14582
Q14749,P19388
P25490,Q9Y2K7
P49848,O00522
P46013,P51959
P42575,O75122
Q9C0C2,P06396
Q96S96,Q96SD1
O15530,P07992
Q15233,Q93038
O75419,P17181
P60510,Q9H4H8
Q9Y5P8,O43508
Q15118,Q9P2N7
O75190,P02766
Q9NS75,O75368
O75943,Q9P246
P54727,Q02487
P35670,P01116
Q13188,Q9UKI8
Q71U36,Q9BUJ2
P43403,P02760
O75469,P84077
O43684,P21583
O43684,O75674
Q02413,Q16633
Q8WU90,P35249
P22392,O43172
Q15334,O15056
P34998,Q9UNE7
Q13794,P40238
P03372,Q7L523
Q8WYA6,Q92993
O75175,Q9C0C7
O95721,Q9H582
Q8WYK2,P30531
Q13506,Q53ET0
Q3V6T2,P17480
Q9UHD1,Q9NZN4
Q14526,P22570
O75379,Q15173
P15927,P0DPB6
P78504,Q08999
Q13563,A9UHW6
P25067,Q93038
P18846,O95243
O75689,P01009
P61966,Q8N7R7
Q9H2G4,Q16394
Q5VTR2,P02795
P59780,Q96LC9
P13725,Q86Y39
Q9NQG5,Q02790
Q99576,Q92945
Q9UP83,Q6IA86
P41238,Q9UM13
P54829,O15371
Q13137,P52564
Q92813,P25440
Q8NE01,P09874
Q96T23,Q9Y463
O75446,Q9BRV8
Q9UQN3,Q8WVJ9
Q9Y2K6,Q14765
P08575,O00541
Q9UMX0,Q8N3L3
P23443,Q15468
Q9H9B1,O95292
Q68CZ6,Q9C004
Q9NRM7,Q9NZI2
Q93096,O43353
Q71SY5,P19883
O14682,Q9NR30
Q9UPY6,Q14494
Q9NWA0,Q03014
Q9HD26,P16619
P57087,Q16394
P23258,A2RRP1
Q8TAC2,P62330
P32519,O14646
P23945,P13056
Q9NRA1,O75330
P17931,P48145
P07900,Q9P2N7
Q9Y253,Q14469
Q9NWT8,Q9P2D1
O43186,Q15459
Q15428,P27352
Q13133,P0DPH7
P42224,Q03135
O95819,Q86VQ0
P07237,Q8TAM2
Q9NZN4,P08133
O00750,P78314
Q9H0W8,O43933
P10827,P51148
Q15696,Q9Y4X5
Q9HCG8,P19883
Q16204,Q99819
Q86V81,Q9GZR7
P17542,Q99593
Q04721,Q16531
P13796,Q9UKA2
O94907,O15211
P41236,Q9NWS0
P51888,P07101
P45983,P26885
Q8WW12,Q15648
Q6P2E9,P24522
P57737,P46821
Q08379,P14373
P02768,O94952
Q7L3B6,P08887
O75052,Q14134
Q9GZY0,Q9UL63
P49759,Q9UHI6
O94927,O60609
Q9GZN1,Q68CZ6
P15153,Q9NVV4
Q93038,Q9H9E3
Q969G2,Q9NPJ8
Q96FZ7,Q96JC9
Q9UBS0,Q16890
O75326,O15350
Q15185,P0CG13
O00264,Q15788
P43626,P35247
P31371,Q9UN86
Q9UNS1,P00492
Q5VZL5,Q9H2S9
P62312,O60716
O75909,Q9ULV3
P18583,Q14194
O43502,Q92843
Q05048,Q15173
Q16740,Q9UBF8
Q9H0Y0,Q14209
Q13409,Q9GZL7
Q8IXQ6,Q4KMQ1
Q9Y2T4,P40123
P13725,Q96T51
P52907,P20809
P35244,P13747
O43809,Q14749
P06729,Q9BXM7
Q14653,P59768
P68133,Q13547
P78371,P61201
Q9Y2Y9,Q96IY1
P30304,P62873
Q02413,O60941
Q99848,P11234
Q9UMX0,Q9GZX6
Q96ST3,Q9BWF2
P26373,Q13472
P10588,Q5T124
Q14722,P02792
Q9UKF6,Q32MZ4
Q14565,P16070
Q8N1I0,Q8NI35
Q9UKY1,P07992
P22607,O94985
Q9P0W2,Q96N64
O15084,Q32P44
Q8TD19,Q8WTS1
Q8N5A5,Q9NY61
P54198,O43913
Q14865,P61158
Q9BRG2,Q9Y221
Q49AN0,O14730
P31930,O14879
Q02763,Q4AC94
P49770,O60784
Q03519,P63151
Q05195,P07437
Q13057,Q93074
O96017,P20336
P42858,Q9BXS0
O95297,Q9UKK6
P35244,Q01518
O00303,O95238
O95573,P11233
P19474,Q6PJ61
Q9HAJ7,O43447
Q15562,Q13637
P38936,P05387
Q9GZN1,P51671
P00734,Q14393
P61019,O14777
Q09013,Q9NS69
Q9UBK2,Q9NP77
Q96RL1,Q8TCY5
O14737,Q15327
Q13637,Q7L2H7
Q8WVY7,Q8TAD8
Q9Y2H1,Q99469
Q14204,Q9Y3D8
O15234,Q9H0D6
Q6WCQ1,Q9BQB6
Q9UQ16,O95613
Q9NP66,Q9Y314
P61081,O43513
P33151,P07204
P01111,O15169
Q15811,Q96L50
P23468,Q6ZU15
P17844,Q9UJX2
Q9H9L4,O00330
P47928,P22695
Q02447,Q9UIF9
P13725,P62995
P01031,Q6PGQ7
Q6NUP7,O43447
P78543,O95295
P26678,Q9HCU9
Q96JC9,P36507
Q01780,Q9H7D7
Q9BQ67,Q99569
P26885,P10912
Q9BYG4,Q9H0E9
O94763,O94905
Q9UHI6,Q13951
P30273,Q15555
Q00597,O95352
Q9P2B2,Q9UNH7
O60739,P57739
Q9UHW5,P48736
Q9UN86,O14713
Q9UQL6,O95251
Q9BX63,P32246
Q9UKN8,P16144
O15520,P26022
O75390,Q15334
Q9NVP2,Q9UKK3
Q9BUH8,P29692
Q9H015,Q9BYE7
O00560,P07550
P30542,Q9NUP9
P54725,P05181
Q9ULV3,Q8IX12
O60763,Q15573
Q8N5A5,P31314
O60500,Q9GZU2
Q15669,P23193
Q6UWE0,Q99727
Q96RJ3,Q9ULL4
O15027,O43913
Q07889,Q96KP1
O43593,Q9HCU8
Q9H221,Q15036
Q13627,Q8NCD3
Q9NQ55,Q9GZR2
P78543,Q9Y508
Q9H0F6,Q9GZX5
P11234,P18510
P42263,P26927
Q6QNY1,Q9Y2D1
P10721,Q6IAA8
P62750,Q9C0K0
P27824,P78364
P15408,Q07866
P49763,P42858
P55769,P30281
O75154,Q14582
Q9NQB0,Q8N5H7
Q6PGQ7,O14924
P61088,Q9Y3T9
P25963,Q9P2W3
P98095,P49792
Q9Y5B9,O94941
Q9HAU5,Q96I25
O75330,P49069
O94889,O60486
P31483,Q96KQ7
Q9Y692,P35232
Q4AC94,P15260
Q14678,Q13554
Q99583,P11717
P15382,Q15631
Q8N4P2,P42772
Q99612,P05362
P52594,Q92558
Q9UJM3,P01375
P30443,Q0JRZ9
Q99567,O95257
P36542,Q9BUE0
P32243,O95163
Q96EQ8,Q8IUR0
Q9Y3P8,Q6P2C8
P25208,Q9GZS3
Q93045,O43187
P23945,Q9H015
P15502,O60447
O75663,P01344
Q15022,Q09470
Q14919,Q7L8J4
Q15631,P63027
O15446,Q8IUR0
Q9BUB5,Q9UJM3
Q9P2X0,Q02078
Q99962,Q8WXE1
Q14721,P02763
Q86YR5,P25942
O60220,O43933
Q9Y5X1,Q9UJ70
P28335,Q9NRR4
Q08211,Q9ULT8
Q96Q15,Q7Z4I7
Q9NVN3,P51813
P49591,Q16602
Q06323,P61966
P07951,P46821
Q86VB7,P05362
Q8IWZ3,Q96CW5
P42081,O15360
Q01658,Q9BUL8
Q9BSJ2,O60830
Q5MJ70,Q8TD19
Q14687,Q9Y508
O75334,A7MCY6
Q9P246,P14618
Q16666,Q5U5X0
Q9UHC6,Q9H6R0
P20849,Q8N3V7
Q66K89,O43516
P20337,P32246
P09493,P28360
Q14676,O43184
Q14524,Q9ULX6
Q99489,P56817
Q14232,O00165
O00762,Q9Y272
O95997,P01225
Q9UL46,Q96FZ7
Q8IVI9,P38919
Q53GL0,Q9NTX7
Q9HC29,Q99963
O15379,Q9UQ80
Q7Z569,P98170
Q16795,P40855
P53355,P50750
P20807,O75971
Q9UQ84,Q14694
Q9H2F5,Q96T88
Q9H3U1,P15336
Q15654,P49815
Q9BWW4,Q96AE4
Q96RU7,P21741
O94829,O75955
Q96J92,Q5VWX1
Q15369,Q9H8S9
Q8TEL6,P51587
Q53HV7,P61626
Q15649,O75143
Q96FA3,Q9BU61
Q99986,Q9Y574
Q9UKL0,Q15013
Q8TEP8,Q68D85
P02462,Q9Y679
Q969T9,Q7L9L4
P62805,Q9H981
P51159,Q13501
Q5XUX1,Q13617
P51948,Q9C035
P31483,Q9UIF7
Q9HAV4,O00206
O43815,Q16799
Q9GZR7,Q6NZ67
O00311,Q14573
O14617,P42574
O95407,Q7L2E3
P50148,O00141
O00763,Q9H8Y5
Q13232,Q15643
P01563,Q7Z7C8
O43680,P53680
Q16602,Q9Y6A5
P49750,Q99714
Q2M1K9,O60927
O75112,Q5T3J3
Q7L2Z9,Q92499
Q16576,P17813
Q00005,Q13118
P14618,Q8N531
Q9UHR5,Q9H165
P42575,Q9H4I2
P46940,Q9NVX0
P18615,Q12974
Q6Q0C0,Q6NZY4
O00555,P56945
P42338,P13631
P39748,O75817
Q8NHG8,Q13492
Q9Y2J0,P62277
O95343,P29474
P61026,Q8NI22
Q9Y383,O43719
Q9BWT7,P19388
P25815,Q92845
O75554,Q96JM2
Q9NPA8,O95219
P19634,Q9Y6R0
Q9P0J0,P62314
O00625,Q9HBI0
Q9H9E1,Q8IWZ6
P42336,P28069
Q9UM73,Q2NKX8
Q13107,P36873
P32248,P38936
O60237,Q969G2
P09936,Q96M94
P23760,Q13772
Q8IYI6,Q9NQS7
P07204,P14373
Q15582,P51532
Q92622,P51587
Q08379,Q12947
Q08AG7,P62312
Q9HB96,Q13635
Q07352,P49006
Q9Y6Q9,P62841
O15519,Q5SXM2
O60936,Q01860
P47756,Q9Y5K6
Q9UHX1,P40938
O95409,Q07912
P40425,P11171
O95249,P62487
Q96FW1,P54284
P08648,Q96HE7
Q9NUP9,P49023
P13569,Q9UHF4
P82979,Q13635
Q9BZE9,Q16513
Q92870,Q9H2B2
Q9UI95,P11802
P40937,P40616
P01100,P10398
Q9UL25,P13667
P62820,O15031
P23467,P81408
Q00688,Q9UFF9
Q6AHZ1,P49427
O75122,P12830
Q15185,Q9NP64
Q13045,Q92854
Q92882,P29274
Q86Y82,P40939
Q16828,Q9UKX7
Q96CS4,Q9BPW8
Q8WWW8,Q5JSH3
P48553,O14599
P28908,P48645
Q7Z628,Q13485
P46939,Q16620
Q9UIV1,Q12905
P21728,O14776
Q9Y3M2,Q9HAH7
Q8WV24,P09629
P61923,P33991
O75533,Q16526
Q07889,P40259
P32519,P26371
Q99593,P61956
Q9UGJ0,Q06190
Q8IXW5,Q12769
Q9UIF7,P52597
Q9BUJ2,Q96GW7
Q8N556,P24385
P49407,O60759
Q96IZ0,P15884
Q9UL25,Q15361
Q92466,Q14344
Q15386,O14931
O60566,Q92797
Q68CP9,Q8TAA9
P62195,Q9NVN3
O14936,Q16537
Q9C0C2,Q13144
P55916,Q9UBK5
Q07817,Q9UBC1
O14795,Q86SE9
P51677,Q9UQB3
P28072,Q9BW11
P17301,P62633
O14543,P35637
Q13422,Q13087
P62633,P60900
Q12996,Q9BZE9
P53779,Q9H2X6
Q96LI5,P36957
Q9H334,O14770
Q8WYA6,P04066
Q9Y2X7,P01019
P18054,Q9NPC8
Q9BZK7,P62995
Q9BRX5,Q96S55
P31431,P20783
P78527,Q99942
Q8WXI9,Q8TBA6
A8K8P3,P49450
P17081,Q8TEW0
P02747,Q01543
O75586,Q13261
Q8TAT6,Q9UQR0
Q8TDR0,Q9Y6R4
Q9HB89,Q13616
Q96AH0,Q13416
Q92968,P10155
Q14202,Q9NVA2
Q53T94,Q9Y6R0
Q96Q07,Q15532
Q8N2H9,Q13509
O00300,P53999
Q86XL3,Q15329
Q9NR46,P05107
Q8WVJ9,Q96BI3
P31350,P09603
O95863,P51808
O94906,Q16718
P13010,Q96S44
P54577,P27930
P18827,Q8NI22
Q9UDY8,Q9BZE4
Q53EL6,Q9UJX6
Q9UQ13,Q9BUJ2
Q13118,P47872
P28749,Q9H9A7
O43602,P18887
P63096,Q8WXE9
O95628,Q13478
Q02363,Q6ZRS2
Q9NUX5,P02679
Q15650,P06753
P12956,Q15173
Q12852,P23284
Q8WUA2,Q14832
Q8IYD8,Q00653
Q9BV19,P27037
P34897,P05452
Q8NB16,Q9HAT8
Q15413,Q14596
P40238,O94776
P15151,Q96NE9
Q9ULT6,Q01658
P26678,Q15173
Q9Y264,O14745
O14497,P63241
O95070,Q9Y580
Q9UIV1,P61764
Q13562,Q9UI10
Q13418,Q9UKT8
P55957,Q13905
P08603,O75323
Q9NZN4,P52333
O60828,Q9H0N5
Q8WWY3,Q15654
Q9NNX6,Q00005
P68543,P43628
Q9BYG4,P16591
Q86US8,Q15303
P51671,P29692
P62244,Q9Y6X2
P49458,Q9H8T0
O95071,Q92564
P51532,P08571
Q6UN15,P55085
Q86Y01,Q13489
Q9BZW8,Q9H2X0
Q13241,Q9P246
P54098,O75448
Q96A65,Q96EI5
P78560,Q13177
Q14011,Q9NS61
O75052,Q6XZF7
Q9UJY4,P01112
P49910,O94972
Q8TBK2,P41143
Q13190,P18084
Q9BVM2,Q6P1M3
P40938,P16389
Q8NBT2,P62314
Q9Y5Q9,P61026
P38606,P19105
Q14149,Q9BUE0
Q9Y5K6,O95248
O94889,P68106
Q15388,P14174
Q9H2G4,O75586
P27918,P28907
O95292,Q5HYK7
Q9H0N5,O14908
P05177,O00712
P27448,P63218
O95600,P35237
P47928,P29992
P04275,Q07820
P24539,Q8N6P7
P11277,Q7LBR1
P35579,P35998
Q02241,Q04656
Q14524,Q9Y2X0
P10914,Q9UJF2
Q8NHG8,Q03431
P31930,P42261
P29692,P55089
O75175,O43809
Q96B36,P51787
Q96RU3,O76075
Q9NQU5,Q13277
P13631,Q86UL8
P25929,O14640
P38398,Q06190
Q92564,P09382
P25685,P04275
P54252,Q9Y5P8
Q9NWZ3,P49763
Q70IA6,P17676
O95249,Q86Y13
P04271,Q9Y343
Q9Y6M7,O95704
O75052,Q86TI0
Q9NV44,P11831
Q13829,Q9UKT7
Q15649,O43681
P00742,Q92997
Q9H492,Q7L5Y6
O14492,Q7L2E3
Q9UKF6,P62899
Q15485,O75586
O43739,Q9H553
